code,code_type,label,family,sector,synonyms
4132.0402,NCO,Facility Management Domestic Data Entry Operator,Data Entry Clerks Office Administration &,Unclassified,administration|clerks|entry|office
4224.0100,NCO,Facility Management Receptionist,Hotel Receptionists Office Administration &,Unclassified,administration|hotel|office|receptionists
4419.0500,NCO,Administration & Facility Management,Clerical Support Workers Not Elsewhere Classified Office,Unclassified,clerical|office|support
9112.9900,NCO,Administration & Facility Management,Cleaners and Helpers in Offices; Hotels and Other Establishments Office,Unclassified,cleaners|establishments|helpers|hotels|office|offices
4225.0100,NCO,Complaint Attending Clerk/Customer Service Desk/Customer Service,Inquiry Clerks (Shop sale assistants etc.) Organised Retail,Unclassified,(shop|assistants|clerks|complaint attending clerk|customer service|customer service desk|etc.)|inquiry
7322.1900,NCO,Printing,Printers Printing Machineman - Automatic,Unclassified,automatic|machineman|printers
8132.9900,NCO,Photographic Products Machine Operators; Other,Photographic Products Machine Operators Printing,Unclassified,machine|photographic|printing|products
5414.0151,NCO,Armed Security Guard,Security Guards and Security Supervisors Private Security,Unclassified,guards|private|security|supervisors
5414.0400,NCO,Watchman,Security Guards and Security Supervisors Private Security,Unclassified,guards|private|security|supervisors
5414.0501,NCO,Gateman / Unarmed Security Guard,Security Guards and Security Supervisors Private Security,Unclassified,gateman|guards|private|security|supervisors|unarmed security guard
2659.0200,NCO,Acrobat,Creative and Performing Artists Not Elsewhere Classified Professionals,Unclassified,artists|creative|performing|professionals
2659.0500,NCO,Circus Performers; Other,Creative and Performing Artists Not Elsewhere Classified Professionals,Unclassified,artists|creative|performing|professionals
2659.0700,NCO,Buffoon - Clown,Creative and Performing Artists Not Elsewhere Classified Professionals,Unclassified,artists|buffoon|clown|creative|performing|professionals
2659.0900,NCO,Magician,Creative and Performing Artists Not Elsewhere Classified Professionals,Unclassified,artists|creative|performing|professionals
2659.1100,NCO,Snake charmer,Creative and Performing Artists Not Elsewhere Classified Professionals,Unclassified,artists|creative|performing|professionals
2659.1200,NCO,Puppeteer,Creative and Performing Artists Not Elsewhere Classified Professionals,Unclassified,artists|creative|performing|professionals
3411.9900,NCO,Professionals; Other,Legal and Related Associate Workers Professionals Legal and Related Associate,Unclassified,associate|legal|professionals
3412.9900,NCO,Professionals,Social Work Associate Workers Professionals Social Work Associate,Unclassified,associate|social
5223.0100,NCO,Shop Assistant,Shop Sales Assistants,Retail,assistants|sales
9121.0200,NCO,Sorter),Hand Launderers and Pressers Service Laundary Workers (Marker -,Unclassified,(marker|laundary|launderers|pressers|service
8151.9900,NCO,Fibre Preparing; Spinning and Winding Machine Operators; Other,Fibre Preparing; Spinning and Winding Machine Operators Textile & Handloom,Unclassified,fibre|handloom|machine|preparing|spinning|textile|winding
8154.1200,NCO,Wool Dyer,Bleaching; Dyeing and Cleaning Machine Operators Textile & Handloom,Unclassified,bleaching|cleaning|dyeing|handloom|machine|textile
7516.0200,NCO,Tobacco Industry Tobacco Grader,Tobacco Preparers and Tobacco Products (Bidi Makers; Snuff Makers and Chewing Tobacco Makers),Unclassified,(bidi|chewing|makers)|preparers|products|snuff|tobacco
7516.0500,NCO,Tobacco Industry Cigar or Cheroot Roller,Tobacco Preparers and Tobacco Products (Bidi Makers; Snuff Makers and Chewing Tobacco Makers),Unclassified,(bidi|chewing|makers)|preparers|products|snuff|tobacco
7516.0700,NCO,Tobacco Industry Bidi Maker,Tobacco Preparers and Tobacco Products (Bidi Makers; Snuff Makers and Chewing Tobacco Makers),Unclassified,(bidi|chewing|makers)|preparers|products|snuff|tobacco
7516.0900,NCO,Tobacco Industry Bidi Checker,Tobacco Preparers and Tobacco Products (Bidi Makers; Snuff Makers and Chewing Tobacco Makers),Unclassified,(bidi|chewing|makers)|preparers|products|snuff|tobacco
7516.1100,NCO,Tobacco Industry Chewing Tobacco Maker,Tobacco Preparers and Tobacco Products (Bidi Makers; Snuff Makers and Chewing Tobacco Makers),Unclassified,(bidi|chewing|makers)|preparers|products|snuff|tobacco
4212.0100,NCO,Booking Clerk,Bookmakers; Croupiers and Related Gaming Workers Tourism &,Hospitality,bookmakers|croupiers|gaming|tourism
5113.0100,NCO,Travel Agent,Travel Guides Tourism &,Hospitality,guides|tourism|travel
5113.0200,NCO,Tourist Guide,Travel Guides Tourism &,Hospitality,guides|tourism|travel
5120.0200,NCO,Cooks (restaurent/Shaba/Hotel/Party),Cook Institutional Tourism &,Hospitality,cooks (restaurent|hotel|institutional|party)|shaba|tourism
5131.0401,NCO,Waiter (Food & Beverage Service Steward),Waiters Tourism &,Hospitality,tourism|waiters
5132.0100,NCO,Waiter (Bartender),Bartenders Tourism &,Hospitality,bartenders|tourism
5151.0202,NCO,Tourism & Hospitality Room Attendant,Cleaning and Housekeeping Supervisors in Offices; Hotels and Other Establishments,Unclassified,cleaning|establishments|hotels|housekeeping|offices|supervisors
